,theta,m,b
0,0,0.006131144317418974,36.44539195541947
1,10,0.00463359328715022,35.196241017979645
13,20,0.00238032572004938,30.78735091551201
14,30,0.0013551079331962867,41.83368782989666
15,40,-0.0027778643191008123,45.796764355170396
16,50,-0.007952709367169528,58.75114818205039
2,120,0.053689791582159564,43.16241373709299
3,130,0.02122463944787684,27.682526268600736
4,140,0.014039826769988755,40.95050391106494
5,150,0.009787141375613392,32.747953794793496
6,160,0.009463092741866137,37.536733275756546
7,170,0.00627482129940891,34.96090607274904
8,175,0.006172677404653061,42.330970606076036
9,176,0.0038688450651621076,40.66853999242067
10,177,0.004477616286012425,41.366965840140345
11,178,0.003131406517258772,37.644779155415925
12,179,0.0016234612652054965,34.72859116487306
